"('Date', '')","('Close', 'BTC-USD')","('Symbol', '')",Date,Close,Symbol
2024-11-27,95962.53125,Bitcoin,,,
2024-11-28,95652.46875,Bitcoin,,,
2024-11-29,97461.5234375,Bitcoin,,,
2024-11-30,96449.0546875,Bitcoin,,,
2024-12-01,97279.7890625,Bitcoin,,,
2024-12-02,95865.3046875,Bitcoin,,,
2024-12-03,96002.1640625,Bitcoin,,,
2024-12-04,98768.53125,Bitcoin,,,
2024-12-05,96593.5703125,Bitcoin,,,
2024-12-06,99920.7109375,Bitcoin,,,
2024-12-07,99923.3359375,Bitcoin,,,
2024-12-08,101236.015625,Bitcoin,,,
2024-12-09,97432.71875,Bitcoin,,,
2024-12-10,96675.4296875,Bitcoin,,,
2024-12-11,101173.03125,Bitcoin,,,
2024-12-12,100043.0,Bitcoin,,,
2024-12-13,101459.2578125,Bitcoin,,,
2024-12-14,101372.96875,Bitcoin,,,
2024-12-15,104298.6953125,Bitcoin,,,
2024-12-16,106029.71875,Bitcoin,,,
2024-12-17,106140.6015625,Bitcoin,,,
2024-12-18,100041.5390625,Bitcoin,,,
2024-12-19,97490.953125,Bitcoin,,,
2024-12-20,97755.9296875,Bitcoin,,,
2024-12-21,97224.7265625,Bitcoin,,,
2024-12-22,95104.9375,Bitcoin,,,
2024-12-23,94686.2421875,Bitcoin,,,
2024-12-24,98676.09375,Bitcoin,,,
2024-12-25,99299.1953125,Bitcoin,,,
2024-12-27,96295.2109375,Bitcoin,,,
,,,2024-11-28 00:00:00,242.46678684660802,Solana
,,,2024-11-29 00:00:00,237.65273808614407,Solana
,,,2024-11-30 00:00:00,243.70089664594224,Solana
,,,2024-12-01 00:00:00,238.16347667858562,Solana
,,,2024-12-02 00:00:00,237.54718827599987,Solana
,,,2024-12-03 00:00:00,225.5283610124218,Solana
,,,2024-12-04 00:00:00,234.99258635351788,Solana
,,,2024-12-05 00:00:00,229.06669921453178,Solana
,,,2024-12-06 00:00:00,237.3008587229224,Solana
,,,2024-12-07 00:00:00,237.00646868253727,Solana
,,,2024-12-08 00:00:00,238.89329739813545,Solana
,,,2024-12-09 00:00:00,237.57854563045439,Solana
,,,2024-12-10 00:00:00,217.61737842270807,Solana
,,,2024-12-11 00:00:00,213.52687206332865,Solana
,,,2024-12-12 00:00:00,227.0731413756734,Solana
,,,2024-12-13 00:00:00,227.02574746034202,Solana
,,,2024-12-14 00:00:00,224.59546331682483,Solana
,,,2024-12-15 00:00:00,219.871836259502,Solana
,,,2024-12-16 00:00:00,224.53658892974883,Solana
,,,2024-12-17 00:00:00,216.51544960024825,Solana
,,,2024-12-18 00:00:00,222.74032965988914,Solana
,,,2024-12-19 00:00:00,205.36330239790396,Solana
,,,2024-12-20 00:00:00,194.9019815694289,Solana
,,,2024-12-21 00:00:00,194.12198450453806,Solana
,,,2024-12-22 00:00:00,181.0289078386085,Solana
,,,2024-12-23 00:00:00,180.15299381882627,Solana
,,,2024-12-24 00:00:00,189.84218617656558,Solana
,,,2024-12-25 00:00:00,197.50098597289022,Solana
,,,2024-12-26 00:00:00,197.3576592740719,Solana
,,,2024-12-27 00:00:00,188.14456627233477,Solana
,,,2024-12-27 04:01:35,189.32601156483548,Solana
