time,open,high,low,close,vwap,volume,count
2024-12-21 13:30:00,0.3166279,0.3188718,0.3141666,0.3188718,0.3167487,813726.21721857,197
2024-12-21 13:35:00,0.3188589,0.3226758,0.3185560,0.3203676,0.3215216,3256596.60916374,290
2024-12-21 13:40:00,0.3202574,0.3227574,0.3194998,0.3216501,0.3211986,510374.09396051,96
2024-12-21 13:45:00,0.3215031,0.3244936,0.3214784,0.3232830,0.3221696,966646.53172542,154
2024-12-21 13:50:00,0.3227793,0.3227793,0.3200000,0.3218626,0.3213511,466052.27065376,152
2024-12-21 13:55:00,0.3215000,0.3244260,0.3209290,0.3237798,0.3231745,98801.86784373,114
2024-12-21 14:00:00,0.3235030,0.3271653,0.3231769,0.3263635,0.3263770,804990.90547272,197
2024-12-21 14:05:00,0.3260000,0.3260642,0.3243264,0.3250086,0.3248365,1256175.00608532,178
2024-12-21 14:10:00,0.3252461,0.3271247,0.3251920,0.3266611,0.3260306,667294.71419887,155
2024-12-21 14:15:00,0.3268587,0.3283598,0.3257508,0.3283598,0.3266398,1248982.45611859,216
2024-12-21 14:20:00,0.3282612,0.3283441,0.3247487,0.3247902,0.3258120,635725.54236448,174
2024-12-21 14:25:00,0.3246885,0.3264775,0.3239566,0.3262862,0.3255416,574653.13912898,124
2024-12-21 14:30:00,0.3261346,0.3291491,0.3261346,0.3291491,0.3280734,158408.50229205,121
2024-12-21 14:35:00,0.3291891,0.3293351,0.3257413,0.3257413,0.3270578,189517.31113582,94
2024-12-21 14:40:00,0.3260291,0.3264794,0.3241473,0.3254472,0.3255304,127968.53999876,56
2024-12-21 14:45:00,0.3255156,0.3281717,0.3251406,0.3271605,0.3274428,1303874.05712055,210
2024-12-21 14:50:00,0.3272578,0.3273013,0.3249620,0.3252471,0.3269117,409378.67844212,153
2024-12-21 14:55:00,0.3249730,0.3250454,0.3236710,0.3236710,0.3245387,277143.11795021,120
2024-12-21 15:00:00,0.3236712,0.3259471,0.3236712,0.3259471,0.3246528,677452.11882667,142
2024-12-21 15:05:00,0.3260626,0.3276024,0.3257658,0.3264804,0.3267660,382320.83038038,72
2024-12-21 15:10:00,0.3265508,0.3265987,0.3246908,0.3258894,0.3255840,41547.54334845,33
2024-12-21 15:15:00,0.3260046,0.3276437,0.3260046,0.3268701,0.3270545,405031.28804851,68
2024-12-21 15:20:00,0.3265046,0.3280846,0.3263411,0.3275500,0.3270119,91023.75217956,81
2024-12-21 15:25:00,0.3276238,0.3282013,0.3268830,0.3271157,0.3280495,511692.32657233,43
2024-12-21 15:30:00,0.3270905,0.3277819,0.3264757,0.3270066,0.3271279,138456.34085700,67
2024-12-21 15:35:00,0.3269839,0.3271552,0.3266726,0.3270808,0.3267336,113295.99344341,89
2024-12-21 15:40:00,0.3267182,0.3270572,0.3250795,0.3250795,0.3256968,523956.85431839,96
2024-12-21 15:45:00,0.3250796,0.3278847,0.3250796,0.3275595,0.3270135,490340.07525328,112
2024-12-21 15:50:00,0.3275869,0.3278040,0.3263273,0.3263273,0.3277251,29243.90881102,43
2024-12-21 15:55:00,0.3256447,0.3268510,0.3256447,0.3268510,0.3264902,33779.51419985,43
2024-12-21 16:00:00,0.3268780,0.3270809,0.3226482,0.3231397,0.3256092,162483.03238674,83
2024-12-21 16:05:00,0.3226658,0.3236955,0.3211076,0.3213189,0.3221745,964951.08588016,243
2024-12-21 16:10:00,0.3213190,0.3256170,0.3213190,0.3256170,0.3226977,215235.00515449,135
2024-12-21 16:15:00,0.3257005,0.3291851,0.3257005,0.3273826,0.3272242,206298.56228566,135
2024-12-21 16:20:00,0.3271390,0.3288633,0.3269670,0.3274531,0.3275922,34834.15356845,28
2024-12-21 16:25:00,0.3273338,0.3277061,0.3267400,0.3269651,0.3270075,718664.09831521,89
2024-12-21 16:30:00,0.3270129,0.3277913,0.3242110,0.3242110,0.3265935,423377.50447997,95
2024-12-21 16:35:00,0.3242209,0.3256449,0.3224767,0.3247057,0.3234750,514867.99798125,97
2024-12-21 16:40:00,0.3236710,0.3237977,0.3215723,0.3219437,0.3222249,489919.04747475,130
2024-12-21 16:45:00,0.3216718,0.3231861,0.3213748,0.3231861,0.3226038,279130.59917149,80
2024-12-21 16:50:00,0.3227925,0.3245342,0.3223619,0.3225735,0.3239342,105060.85066525,71
2024-12-21 16:55:00,0.3226755,0.3237979,0.3225676,0.3229143,0.3228377,30690.66345207,39
2024-12-21 17:00:00,0.3227406,0.3240472,0.3214357,0.3240472,0.3233189,120101.10595763,100
